3D7_3,3D7_6,3D7_9,FUP_3,FUP_6,FUP_9
PF3D7_0818900,PF3D7_1353300,PF3D7_1456200,PF3D7_1427300,PF3D7_0305400,PF3D7_1329200
PF3D7_1225100,PF3D7_0621500,PF3D7_1410700,PF3D7_0827600,PF3D7_0935800,PF3D7_0815900
PF3D7_1339600,PF3D7_0817200,PF3D7_1441500,PF3D7_0519200,PF3D7_1335800,PF3D7_0215800
PF3D7_0221900,PF3D7_1471900,PF3D7_1368200,PF3D7_1003700,PF3D7_1427600,PF3D7_1372300
PF3D7_1320300,PF3D7_1333200,PF3D7_0709000,PF3D7_0204100,PF3D7_0110800,PF3D7_1410700
PF3D7_0506800,PF3D7_1359300,PF3D7_1009800,PF3D7_1010100,PF3D7_1452900,PF3D7_0624100
PF3D7_1429400,PF3D7_1306600,PF3D7_0822600,PF3D7_0706200,PF3D7_1345600,PF3D7_1317000
PF3D7_1422700,PF3D7_1015000,PF3D7_1236600,PF3D7_1452200,PF3D7_1458300,PF3D7_0305400
PF3D7_1429000,PF3D7_0704200,PF3D7_0606900,PF3D7_1212500,PF3D7_0912000,PF3D7_0935800
PF3D7_0214200,PF3D7_1242200,PF3D7_1353300,PF3D7_1228000,PF3D7_1011100,PF3D7_0932600
PF3D7_1111700,PF3D7_0813300,PF3D7_0621500,PF3D7_0209500,PF3D7_1103700,PF3D7_0110800
PF3D7_1447500,PF3D7_1107000,PF3D7_0817200,PF3D7_0104800,PF3D7_0608600,PF3D7_0401600.2
PF3D7_0824600,PF3D7_1034000,PF3D7_1471900,PF3D7_1238400,PF3D7_0207200,PF3D7_0706300
PF3D7_0906910,PF3D7_1406300,PF3D7_1333200,PF3D7_1356300,PF3D7_1143500,PF3D7_0826300
PF3D7_1318300,PF3D7_0511300,PF3D7_1359300,PF3D7_0420300,PF3D7_1242200,PF3D7_1458300
PF3D7_1359700,PF3D7_1236300,PF3D7_1229700,PF3D7_1431600,PF3D7_0927700,PF3D7_0912000
PF3D7_1470100,PF3D7_0915000,PF3D7_1306600,PF3D7_0927500,PF3D7_1238600,PF3D7_0419100
PF3D7_1448300,PF3D7_1345500,PF3D7_1015000,PF3D7_0815800,PF3D7_1345200,PF3D7_1315200
PF3D7_1355200,PF3D7_0619600,PF3D7_0704200,PF3D7_0523900,PF3D7_0404500,PF3D7_1117100
PF3D7_1212000,PF3D7_0614200,PF3D7_1242200,PF3D7_1368600,PF3D7_0902800,PF3D7_1372900
PF3D7_0502100,PF3D7_1216600,PF3D7_0813300,PF3D7_0111600,PF3D7_1107000,PF3D7_1306600
PF3D7_0717100,PF3D7_1431200,PF3D7_1107000,PF3D7_0300100,PF3D7_0316500,PF3D7_0608600
PF3D7_1215100,PF3D7_1354800,PF3D7_1034000,PF3D7_0410400,PF3D7_0316100,PF3D7_1143500
