"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_0803600.1",750.753,696,3638.704,793,1831.002,3544.517,1139.786,231,1006,405,1760.442,1872.385,108,863.032,115,3948.218,568.012,721,562,2573,6178.732,143,710,49,295.572,288.17,331.999,242.744,206,708.001,465,884.777
"PF3D7_0803700",14,16,993.218,485,42,230.839,32,528,8,5,42,38,1,11,32,976,25,18,29,37,47,215,24,161,10,56,11,86,292,30,11,36
"PF3D7_0803800",184,214,7540.565,1830,1265,1293.841,338,915,506,165,1173,985,63,377.054,149,6431.344,398,426,357.87,1152,907.021,577.22,271,334,72,439,213,802,837,421,501.858,2866
"PF3D7_0804000",1541.999,4201,17132.505,7159.474,13187.847,12043.062,4093.549,2995.021,4352.795,3309,10735.545,8065.65,1085.707,5076.505,430,19098.314,8404.426,6540.255,3444,10836.905,17061.1,1728.272,3697.993,758,1647.345,1778.006,2671,2938.087,4121,5852.407,2749.481,6687.032
"PF3D7_0804300",2141,5673,5074.944,3483.922,8605.073,9547.25,4440,925,2417,4543.228,9876.299,5944.112,876,4326.255,213,5229.121,9177.182,2451,2268.85,7637,12771.245,551,4543.952,135,2890,766,2486,558,1346,5884,778,2313.173
"PF3D7_0804400",108,53,321,214,1526,161,152,30,157,184,992.009,81,48,488,15,241.012,1012.007,377,80,1814,888.009,20,248.048,7,60,12,296,43,42,733,30,30
"PF3D7_0804500",320.012,417.98,10843.652,3035.211,3513.134,3363.074,917.073,510.379,565.015,301.001,2108.429,2109.988,54,991.883,297.122,15057.562,842.445,348.965,616,2191.831,2808.913,711,469,224,198.831,641.004,264.001,434.077,743,1006.95,838.744,3684.909
"PF3D7_0804600",741,1119.318,3751.188,1279,2331.344,4053.395,1236,646,793,629,2580.06,2009,266,1089.943,60,2527.47,2455,1381,773,3434.001,4607.97,245,1029,117,552,173,401,291,448,1325.983,308,1153
"PF3D7_0804700",451.694,372.351,524.106,344.289,3812.187,3432.754,463.346,121.421,765.204,242.148,3286.855,449.082,52.372,873.319,24.472,773.772,1290.832,765.281,503.108,6690.952,4734.14,57.41,1076.381,7.669,457.396,96.607,319.082,27.922,51.939,720.206,48.482,55.989
"PF3D7_0804800",223,884,2468.174,1032,1845,3135.558,701,537,559,482,1430,1740,175,874.003,26,2550.921,953,604.005,876,2011,6182.437,93,580,56,325,146,416,307,388,522,350,934.889
