ORF,AA01,AA02,AA03,AA04,AA05,AA06,AA07,AA08,AA09,AA10,AA11,AA12,AA13,AA14,AA15,AA16,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11,AS12,AS13,AS14,AS15,AS16
PF3D7_0607000,4248.504,2419.0,54984.069,8563.634,18031.198,30611.349,6736.15,2483.0,3149.0890000000004,4374.173,25671.249,5868.008000000001,474.0,8366.325,771.0,56625.303,15222.973999999998,3242.0,4884.1990000000005,20997.634,39134.62,2988.0,5915.008000000001,664.0,2123.0,3162.0,1220.9160000000002,1003.0,1758.0,7827.762,1612.011,4034.04
PF3D7_0607100,13.0,6.0,78.0,1.0,96.008,182.014,9.0,5.0,4.0,4.957,100.038,3.0,1.0,72.999,2.0,55.001999999999995,37.044000000000004,19.0,13.0,139.0,74.0,2.0,23.0,2.0,1.0,1.0,8.0,0.0,0.0,52.998999999999995,3.0,1.0
PF3D7_0607200,0.0,0.0,18.0,12.0,4.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0607300,2.0,0.0,110.0,45.0,44.0,14.0,3.0,3.0,1.0,1.0,30.0,0.0,0.0,18.0,0.0,155.03,3.0,1.0,0.0,15.0,3.0,13.0,5.0,2.0,1.0,2.0,0.0,0.0,12.0,15.0,1.0,1.0
PF3D7_0607400,93.0,192.0,1926.141,559.0,111.0,668.954,233.06900000000002,556.0,137.0,61.0,250.0,491.434,16.0,69.0,152.0,1604.009,51.13399999999999,133.542,187.0,214.0,215.0,513.0,87.0,259.0,38.0,374.0,48.0,300.0,1236.0,90.0,320.0,830.0
PF3D7_0607500,41.0,62.0,155.05,193.138,117.0,188.025,44.013999999999996,63.0,86.016,34.0,96.11200000000001,58.0,11.0,31.0,21.0,234.0,15.0,31.0,50.0,94.0,171.47299999999998,63.0,10.0,37.0,21.0,129.0,35.0,63.153,189.0,13.002,40.0,186.0
PF3D7_0607600,1.956,0.0,3.6510000000000002,23.978,0.0,4.74,0.777,2.001,0.0,0.0,1.001,0.0,0.0,1.9980000000000002,0.0,10.948,2.0,0.855,1.115,0.0,0.0,0.0,1.9069999999999998,0.0,0.0,0.0,0.0,0.0,0.0,2.907,0.0,0.0
PF3D7_0607700,0.0,0.0,4.96,2.451,4.065,0.0,0.0,0.0,1.178,1.0,0.0,0.0,0.0,2.019,0.0,0.0,1.0090000000000001,0.0,0.0,1.002,3.968,0.0,0.0,0.0,0.0,3.952,0.0,0.0,1.632,0.0,0.0,0.0
PF3D7_0607800,6.0,0.0,64.0,13.0,2.0,14.0,2.0,11.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,107.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,6.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0
PF3D7_0607900,5.0,0.0,175.0,58.0,2.0,33.0,6.0,12.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,454.015,0.0,1.0,5.0,0.0,0.0,83.0,1.0,11.0,0.0,6.0,1.0,4.0,7.0,0.0,1.0,9.0
PF3D7_0608000,85.0,347.0,1298.1789999999999,520.0,380.0,668.0,261.0,395.0,146.0,52.0,210.0,771.0,9.0,95.0,30.0,776.072,28.0,387.0,247.0,604.0,450.0,232.0,137.0,125.0,29.0,81.0,33.0,164.0,248.0,66.0,89.0,638.0
PF3D7_0608100,139.0,192.0,2443.007,835.0,524.0,1007.0,283.0,89.0,264.0,185.0,454.0,754.0,5.0,109.0,59.0,1827.0,73.0,175.0,290.0,1293.181,845.0010000000001,267.998,229.0,29.0,56.0,100.0,32.0,111.0,143.0,151.0,99.0,373.17
PF3D7_0608200,0.0,0.0,185.0,100.0,0.0,15.0,3.0,31.0,0.0,5.0,0.0,16.0,0.0,0.0,13.0,106.0,0.0,1.0,13.0,3.0,0.0,8.002,3.0,13.0,0.0,5.0,0.0,0.0,7.0,2.0,3.0,19.0
PF3D7_0608300,32.444,14.659,339.55800000000005,114.265,74.01,57.059,39.275,19.814,53.018,15.585,64.402,83.274,2.023,4.005,13.0,211.917,20.855999999999998,32.339,21.412,184.43900000000002,79.14,17.0,29.574,5.033,6.106,6.877000000000001,25.941,6.084,3.0,42.268,3.358,26.488000000000003
PF3D7_0608310,250.0,362.0,1026.715,540.0,50.0,646.0,311.0,231.0,206.0,102.0,232.0,402.0,11.0,64.0,52.776,531.25,4.0,272.0,222.0,413.0,554.03,111.0,31.0,67.0,130.0,43.0,76.0,105.0,159.0,154.0,161.0,424.0
PF3D7_0608400,20.0,5.0,238.0,48.202,83.0,69.0,7.0,46.53,36.0,16.0,125.0,16.0,3.0,34.0,4.0,172.59400000000002,34.0,51.0,13.190999999999999,82.0,50.0,7.0,10.0,14.364,3.0,1.0,18.0,17.995,26.66,26.0,19.0,15.0
PF3D7_0608500,801.0,1265.0,8738.098,2510.798,1596.0,6474.343000000001,1297.508,1422.479,906.0,411.0,2350.799,3298.545,117.0,837.113,148.0,7391.081,928.0,1057.0,1464.816,1967.757,5259.719,453.0,665.0,467.63599999999997,406.0,509.0,415.2,619.005,810.34,539.0,1082.0,3184.0
PF3D7_0608600,45.0,21.0,831.721,201.0,193.0,99.012,21.0,105.0,96.0,12.0,141.0,53.0,13.0,69.0,9.0,633.081,61.0,168.0,23.0,98.0,166.945,45.0,34.0,24.0,5.0,88.0,54.0,135.0,126.0,51.0,116.0,154.921
PF3D7_0608700,3814.184,7709.0,20268.738,11576.385,10704.966,21261.745,7104.812,7490.849,6367.0,3336.0,11365.051000000001,14152.448999999999,1575.0,6504.0,504.0,17503.421000000002,6772.776999999999,12182.806999999999,8006.223000000001,12108.605,24842.298,1787.0,4413.0,1755.0,3520.0,2120.002,3685.0,3308.0,5140.0,5138.0,3128.196,13641.775
PF3D7_0608800,208.0,30.0,8796.017,10952.909,490.06199999999995,10038.779,1033.0,5228.903,53.0,21.0,344.03,666.0,17.0,146.0,304.0,11423.283000000001,114.0,189.0,763.0,251.0,46.0,2348.0,168.0,1363.0,94.0,786.0,38.0,1225.0,2195.0,232.0,1522.0,6081.018
PF3D7_0608900,0.0,2.0,84.0,27.0,20.0,30.0,0.0,20.0,0.0,0.0,17.0,0.0,2.0,4.0,6.0,187.99900000000002,0.0,4.0,5.0,8.0,1.0,50.0,4.0,10.0,0.0,12.0,1.0,55.0,35.0,8.0,21.0,35.0
