"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_1452900",0.389737,1.10991,0.318354,0.076462,0.783577,0.712219,1.231234,0,1.689674,0.792714,2.370302,0.377962,0.549996,0.483075,0,0.22626,0.448414,0.324274,0.797567,5.548043,0.756125,0.456299,2.678304,1.91709,1.260408,0.487345,0,0,0,1.544937,0,0.088201
"PF3D7_1453000",42.21513,17.443661,12.321845,8.491343,6.333118,23.768682,22.86597,3.38376,14.045642,13.920623,11.041476,18.287986,9.16218,9.200348,10.648774,12.17177,9.819826,3.513062,9.529675,28.782566,21.995559,12.940036,21.538901,3.401856,29.964632,7.452424,14.034024,3.933959,5.13911,11.369613,6.315294,6.550558
"PF3D7_1453100",0,0.048342,0,0,0.01755,0,0.135369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389679,0,0,0,0,0,0
"PF3D7_1453200",0.03851,0.018635,0,0.016053,0.040846,0.077277,0.051939,0,0.021252,0,0.054604,0.068327,0.056064,0.03499,0.156165,0.039585,0.015609,0.033484,0,0.075809,0.08917,0.047386,0.073751,0.131763,0.12607,0.050266,0.035499,0,0,0.073299,0,0
"PF3D7_1453300",40.478649,18.749421,6.4065,4.732452,7.93722,17.402271,17.829738,0.952751,8.901739,8.051483,16.09347,35.488547,21.777548,8.164836,0,1.579973,10.001606,14.833765,6.60278,8.856266,8.462009,2.653489,16.3803,0,53.27269,0,26.537268,1.513007,4.347605,14.532203,6.872301,6.632976
"PF3D7_1453400",14.757747,7.316606,2.548752,2.113464,3.594935,6.234429,7.933565,1.6094,4.986302,4.756382,6.29382,9.714643,4.859033,5.619048,4.555775,3.007782,2.899592,4.684764,4.294582,12.244976,7.512837,1.672715,7.031927,0.859364,10.244665,2.236915,7.459498,1.846248,1.866724,5.929665,3.476119,1.956652
"PF3D7_1453500",0.896895,0.144576,0.73297,0.196924,1.485938,0.431933,0.201649,0.131069,0.71454,0.520508,1.551163,0.819708,0.36237,0.631796,0.403279,0.548768,0.201608,0.288395,0.28036,0.553917,0.429139,0.428512,0.158928,0.170245,0,0.389695,1.835826,0.256736,0.094554,1.268608,0.081107,0.071798
"PF3D7_1453600",1.489095,0.320361,0.736266,1.270285,1.492982,0.232759,0.223128,0.360827,0.895032,0.415399,1.449257,0.100722,0.819324,0.391454,1.208913,1.183903,0.221503,0.556652,0.186729,0.282749,0.450318,0.692721,0.359233,0.339895,0.252806,0.432209,1.495231,0.256014,0.340171,0.642992,0.594894,0.470331
"PF3D7_1453700",2638.402357,1673.96849,1087.377189,1510.319052,1728.014937,1733.08734,1936.700747,943.521013,1799.156614,2452.265433,1834.37511,1378.32215,1589.585831,1911.075932,1339.812508,1403.701312,1462.611902,1462.701449,1470.535053,1682.865668,1706.328856,2081.427418,2279.827559,786.118624,1697.206647,1580.032617,1635.791459,1096.374366,1166.995824,1887.322074,1127.278429,1258.565201
"PF3D7_1453800",97.418131,62.722981,54.746223,34.962548,73.568278,66.292805,88.051292,30.513588,69.585094,58.524415,107.686653,49.573501,56.566144,90.401329,62.314589,85.941773,52.781796,56.169328,40.337908,173.038323,123.001134,47.330174,74.531501,29.481902,55.34488,56.326684,71.960174,41.150338,34.112186,107.22326,62.819432,40.803964
